id,date,text,label
1316541731035394048,2020-10-15 00:49:43+00:00,"#AbsolishICE
#RefugeesWelcome https://t.co/vszpEfEgti",0
1319184605845557248,2020-10-22 07:51:33+00:00,@lean_mick @AfDimBundestag Der Kern ist: Wir können nicht jeden kriminellen Flüchtling einfach abschieben. Auch die Würde des Verbrechers ist unantastbar. Auch für Verbrecher gelten die Menschenrechte.,3
1234771548613095425,2020-03-03 09:24:12+00:00,"Mit der Straßenbahn ab Max-Weber-Platz leicht zu erreichen. #WirHabenPlatz heute Abend in München um 18.30 - wir müssen viele sein, wir müssen laut sein und vor allem unser menschliches Gesicht zeigen! Die Situation der Flüchtlinge in #Griechenland  ist unerträglich! https://t.co/1aHgZnJmG9",0
1322121412363096065,2020-10-30 10:21:23+00:00,"Terrorist, 21, who killed three in Nice church rampage just weeks after arriving in France via Lampedusa. No doubt the #UsefulIdiots lefties like @_KRAN_ would have been out with their #RefugeesWelcome signs if he’d crossed the Channel https://t.co/WS4vkvojMH via @MailOnline",1
1235231701967736832,2020-03-04 15:52:41+00:00,"Nichts gelernt: Das neue #RefugeesWelcome heißt #WirHabenPlatz. Wieder machen die üblichen Verdächtigen aus Politik, Medien und Asyl-Lobby Stimmung für die massenhafte Aufnahme von Migranten. Ein Kommentar von Kurt Zach.  https://t.co/dtHfuW3cso",1
1305506881365045248,2020-09-14 14:01:10+00:00,"@RealthingUlli @Georg_Pazderski @Tasso2803 In der Flüchtlingsfrage sollte diese Frau einfach nichts machen, dann macht sie auch nichts falsch, denn ihr haben wir den größten Schlamassel in dieser Angelegenheit zu verdanken. Die Flüchtlinge in GR möchten meistens zu Mama Merkel, denn die meinen, sie hat sie eingeladen!!!",1
1297552190219997184,2020-08-23 15:12:04+00:00,We can’t escape! #DonaldTrumpIsRuiningOurCountry #AsylumSeekers https://t.co/GM9lzctw8S,3
1235488340658606081,2020-03-05 08:52:29+00:00,"Ein Vorschlag an die #WirHabenPlatz Fraktion. Wie wäre, wenn jede Kommune genau dann Flüchtlinge aufnehmen kann, wenn es keinen einzigen Obdachlosen mehr in dieser Kommune gibt?",1
1258809820678959105,2020-05-08 17:23:43+00:00,"In Solidarität mit allen von Rassismus Betroffenen #HanauWarKeinEinzelfall
#RassismusTötet
#GerechtigkeitFürArkan
#KeinVergessen
#LeaveNoOneBehind
#KeinSchlussstrich
#BlackLivesMatter https://t.co/AUwT6CqsRE",0
1310860521143447552,2020-09-29 08:34:37+00:00,"@Lars_Kruse_1973 @faznet @astafrankfurt Artikel nicht gelesen? Es geht nicht darum wo er Mitglied war oder ist, sondern dass er sich gegen demokratische Grundrechte wie Asylrecht oder allgemeines Wahlrecht stellt. Das darf bei einem Jura-Prof einfach nicht sein.",0
1322170450714206208,2020-10-30 13:36:14+00:00,Nizza-Attentäter kam als Flüchtling nach Europa https://t.co/QHcfQH4pT5,1
1234078982007644160,2020-03-01 11:32:12+00:00,"Flüchtlinge drängen an EU- Aussengrenze | Türkei öffnet die Grenzen https://t.co/2GkTZFC5C7 via @YouTube

#Türkei #Europa #Fluechtlingswelle #Suriya39 #Nachrichten #news #Syrien https://t.co/zNFFqpnLx0",3
1321947153862971398,2020-10-29 22:48:56+00:00,So beautifully expressed.  #RefugeesWelcome https://t.co/nHt257VM6M,0
1256860174444384256,2020-05-03 08:16:31+00:00,@10DowningStreet It does feel like you’re washing your hands of small biz! We are struggling with no turnover or income help! No grants for biz fixed costs or personal income either for #ForgottenLtd #LeaveNoOneBehind,3
1242445575586529280,2020-03-24 13:38:03+00:00,„#LeaveNoOneBehind: Jetzt die Corona-Katastrophe verhindern - auch an den Außengrenzen!” - Jetzt unterschreiben! https://t.co/CY7R7wpmeb via @ChangeGER,0
1241265097575665664,2020-03-21 07:27:15+00:00,"Gemeinsame #Eurobonds zur Bekämpfung der #Corona-Krise
https://t.co/QzerViITb6",3
1310142229017776129,2020-09-27 09:00:23+00:00,"@Antikalypse @SEENOTRETTUNG @abc_dresden „Idiot“? Schonmal was von Ableismus gehört? Scheinbar nicht. Noch ein Grund mehr, Dich zu blockieren.",3
1305539229775212544,2020-09-14 16:09:42+00:00,"Ex-Bundesrichter Hans-Jürgen Papier rügt deutsche Asylpolitik: ""Mitgefühl ersetzt kein Recht. Rechtsbruch, politische Willkür, Asylrecht darf nicht länger zweckentfremdet werden."" https://t.co/9ED5ZaDIT9",2
1305806511374045186,2020-09-15 09:51:47+00:00,@HSwarat @Alice_Weidel Welche Ratschläge ? Kriminelle Flüchtlinge erst mal abschieben bevor man neue aufnehmen möchte ?,0
