id,date,text,label
1243515952861458433,2020-03-27 12:31:21+00:00,"#Solidarität 🇵🇱🇩🇪 #EUSolidarität #EUSolidarity / #EUSolidarity Über 130 Deutsche konnten mit einem polnischen #FlugnachHause #Lotdodomu von den #Malediven, aus #SriLanka und #Bali zurückkehren. #Gemeinsam #Solidarność #Polen #Deutschland #Coronavirus https://twitter.com/marcin_przydacz/status/1243514832491622400",0.0
1174918496775327751,2019-09-20 05:29:33+00:00,"Ordnungsgemäße #Asylverfahren

https://www.sueddeutsche.de/politik/bamf-fluechtlinge-asyl-betrug-1.4606487",1.0
1264288275130392584,2020-05-23 20:13:08+00:00,@faznet Klingt ziemlich konstruiert. #Refugeesnotwelcome,1.0
1218844356175466496,2020-01-19 10:35:14+00:00,@LJPatton @AlboMP Ok lets profoundly disagree. That’s why so many gave up on Labor yrs ago. I guess it applies to inhumane immoral #asylumseeker policies. In #Newtowm we elected @jennyleong who’s an MP we’re proud of. My hope is more will follow #Balmain #Balmain &amp; #Melbourne. My hope minority gov,0.0
1235460312536690688,2020-03-05 07:01:06+00:00,Hope you have a bright future. #turkeygreeceborder #Refugees #RefugeeCrisis #turkey #Greece_Turkey_Borders,0.0
1259184704785461254,2020-05-09 18:13:22+00:00,"Ms @Lagarde said a “common European fiscal response is highly desirable”, adding that it needed to be “swift, sizeable and symmetrical”' #EuroZone #EuroArea #Euro #EU #FiscalUnion #EuropeanFiscalUnion #Eurobonds
https://www.ft.com/content/7ef2b820-5c1b-45e7-86ac-eb18e5806f04?shareType=nongift via @FT",0.0
1240135852896006144,2020-03-18 04:40:02+00:00,#IslamicState #bomb #refugeecrisis Knowledge is power site:Brit #MPs deslike attack on Syria http://bit.ly/1dg9UTW,3.0
1189280697644732417,2019-10-29 20:39:48+00:00,@CaoimheButterly speaking @UnitedARacism protest outside @FineGael HQ this evening. I can't understand how anyone could vote against saving lives. Shame on FG MEPs for siding with far right. Clearly we can't afford to be complacent about this creeping racism. #RefugeesWelcome,0.0
1176376286509506560,2019-09-24 06:02:17+00:00,"Happy to share my first @LSEEuroppblog post. Based on my recent articles @PolStudies &amp; @jepp_journal, I explain the varying role of #solidarity in the #Eurocrisis and #migrationcrisis https://blogs.lse.ac.uk/europpblog/2019/09/23/understanding-the-two-faces-of-solidarity-in-the-eurozone-and-migration-crises/ via @LSEEuroppblog",0.0
1256865593522900992,2020-05-03 08:38:03+00:00,Brilliant work by @JRSUK and other charities on the front line. We can’t protect public health or the most vulnerable people without giving everyone here leave to remain #RefugeesWelcome https://twitter.com/SLCT2015/status/1256822737735163907,0.0
